대여일자,대여건수,성별,연령대코드,신규가입자수
2018-06-12,,,70~~,1
2018-06-12,,F,70~~,1
2018-06-12,,M,70~~,3
2018-06-12,46201,,,
2018-06-13,,F,~~19,48
2018-06-13,,M,~~19,40
2018-06-13,,F,20~29,675
2018-06-13,,M,20~29,573
2018-06-13,,F,30~39,328
2018-06-13,,M,30~39,458
2018-06-13,,F,40~49,161
2018-06-13,,M,40~49,261
2018-06-13,,F,50~59,74
2018-06-13,,M,50~59,72
2018-06-13,,F,60~69,10
2018-06-13,,M,60~69,17
2018-06-13,,F,70~~,8
2018-06-13,,M,70~~,7
2018-06-13,49116,,,
2018-06-14,,F,~~19,19
2018-06-14,,M,~~19,22
2018-06-14,,F,20~29,307
2018-06-14,,M,20~29,288
2018-06-14,,F,30~39,123
2018-06-14,,M,30~39,172
2018-06-14,,F,40~49,59
2018-06-14,,M,40~49,71
2018-06-14,,F,50~59,39
2018-06-14,,M,50~59,30
2018-06-14,,F,60~69,2
2018-06-14,,M,60~69,13
2018-06-14,,F,70~~,2
2018-06-14,30511,,,
2018-06-15,,F,~~19,49
2018-06-15,,M,~~19,24
2018-06-15,,F,20~29,532
2018-06-15,,M,20~29,444
2018-06-15,,F,30~39,191
2018-06-15,,M,30~39,288
2018-06-15,,F,40~49,89
2018-06-15,,M,40~49,154
2018-06-15,,F,50~59,45
2018-06-15,,M,50~59,81
2018-06-15,,F,60~69,7
2018-06-15,,M,60~69,16
2018-06-15,,,70~~,114
2018-06-15,,F,70~~,4
2018-06-15,,M,70~~,3
2018-06-15,45103,,,
2018-06-16,,F,~~19,82
2018-06-16,,M,~~19,51
2018-06-16,,F,20~29,1048
2018-06-16,,M,20~29,849
2018-06-16,,F,30~39,413
2018-06-16,,M,30~39,525
2018-06-16,,F,40~49,207
2018-06-16,,M,40~49,244
2018-06-16,,F,50~59,76
2018-06-16,,M,50~59,81
2018-06-16,,F,60~69,18
2018-06-16,,M,60~69,37
2018-06-16,,F,70~~,8
2018-06-16,,M,70~~,7
2018-06-16,46457,,,
2018-06-17,,F,~~19,73
2018-06-17,,M,~~19,57
2018-06-17,,F,20~29,980
2018-06-17,,M,20~29,846
2018-06-17,,F,30~39,384
2018-06-17,,M,30~39,517
2018-06-17,,F,40~49,184
2018-06-17,,M,40~49,264
2018-06-17,,F,50~59,72
2018-06-17,,M,50~59,76
2018-06-17,,F,60~69,16
2018-06-17,,M,60~69,22
2018-06-17,,F,70~~,6
2018-06-17,,M,70~~,8
2018-06-17,43484,,,
2018-06-18,,F,~~19,16
2018-06-18,,M,~~19,17
2018-06-18,,F,20~29,223
2018-06-18,,M,20~29,197
2018-06-18,,F,30~39,78
2018-06-18,,M,30~39,95
2018-06-18,,F,40~49,34
2018-06-18,,M,40~49,51
2018-06-18,,F,50~59,15
2018-06-18,,M,50~59,20
2018-06-18,,F,60~69,2
2018-06-18,,M,60~69,5
2018-06-18,,,70~~,797
2018-06-18,,F,70~~,1
2018-06-18,,M,70~~,2
2018-06-18,36316,,,
2018-06-19,,F,~~19,43
2018-06-19,,M,~~19,47
2018-06-19,,F,20~29,487
2018-06-19,,M,20~29,405
2018-06-19,,F,30~39,176
2018-06-19,,M,30~39,264
2018-06-19,,F,40~49,67
2018-06-19,,M,40~49,122
2018-06-19,,F,50~59,47
2018-06-19,,M,50~59,49
2018-06-19,,F,60~69,7
2018-06-19,,M,60~69,14
2018-06-19,,,70~~,253
2018-06-19,,F,70~~,3
2018-06-19,,M,70~~,2
2018-06-19,47296,,,
2018-06-20,,F,~~19,16
2018-06-20,,M,~~19,16
2018-06-20,,F,20~29,247
2018-06-20,,M,20~29,227
2018-06-20,,F,30~39,104
2018-06-20,,M,30~39,121
2018-06-20,,F,40~49,51
2018-06-20,,M,40~49,85
2018-06-20,,F,50~59,23
2018-06-20,,M,50~59,33
2018-06-20,,F,60~69,5
2018-06-20,,M,60~69,6
2018-06-20,,,70~~,1131
2018-06-20,,F,70~~,2
2018-06-20,46612,,,
2018-06-21,,,70~~,2828
2018-06-21,47762,,,
2018-06-22,,,70~~,3335
2018-06-22,47478,,,
2018-06-23,,,70~~,4526
2018-06-23,45663,,,
2018-06-24,,,70~~,4408
2018-06-24,39548,,,
2018-06-25,,,70~~,2684
2018-06-25,46565,,,
2018-06-26,,,70~~,635
2018-06-26,6391,,,
2018-06-27,,,70~~,2000
2018-06-27,41128,,,
2018-06-28,,,70~~,1238
2018-06-28,27757,,,
2018-06-29,,,70~~,2556
2018-06-29,42765,,,
2018-06-30,,,70~~,2094
2018-06-30,26911,,,
2018-07-01,,,70~~,689
2018-07-01,4358,,,
2018-07-02,,,70~~,528
2018-07-02,,F,70~~,2
2018-07-02,6261,,,
2018-07-03,,,70~~,2254
2018-07-03,41350,,,
2018-07-04,,,70~~,2596
2018-07-04,45741,,,
2018-07-05,,,70~~,2250
2018-07-05,39804,,,
2018-07-06,,,70~~,3099
2018-07-06,49521,,,
2018-07-07,,,70~~,5428
2018-07-07,48015,,,
2018-07-08,,,70~~,5706
2018-07-08,48132,,,
2018-07-09,,,70~~,895
2018-07-09,8155,,,
2018-07-10,,,70~~,1347
2018-07-10,27956,,,
2018-07-11,,,70~~,1856
2018-07-11,35390,,,
2018-07-12,,,70~~,2372
2018-07-12,43611,,,
2018-07-13,,,70~~,2539
2018-07-13,44976,,,
2018-07-14,,,70~~,3446
2018-07-14,39205,,,
2018-07-15,,,70~~,2937
2018-07-15,34957,,,
2018-07-16,,,70~~,2161
2018-07-16,40964,,,
2018-07-17,,,70~~,2133
2018-07-17,43323,,,
2018-07-18,,,70~~,2123
2018-07-18,42609,,,
2018-07-19,,,70~~,2194
2018-07-19,42316,,,
2018-07-20,,,~~19,221
2018-07-20,,,20~29,1189
2018-07-20,,,30~39,348
2018-07-20,,,40~49,201
2018-07-20,,,50~59,91
2018-07-20,,,60~69,16
2018-07-20,,,70~~,3
2018-07-20,40337,,,
2018-07-21,,,~~19,270
2018-07-21,,,20~29,1329
2018-07-21,,,30~39,385
2018-07-21,,,40~49,184
2018-07-21,,,50~59,83
2018-07-21,,,60~69,17
2018-07-21,,,70~~,2
2018-07-21,32360,,,
2018-07-22,,,~~19,247
2018-07-22,,,20~29,1169
2018-07-22,,,30~39,316
2018-07-22,,,40~49,149
2018-07-22,,,50~59,57
2018-07-22,,,60~69,10
2018-07-22,,,70~~,1
2018-07-22,28250,,,
2018-07-23,,,~~19,221
2018-07-23,,,20~29,967
2018-07-23,,,30~39,268
2018-07-23,,,40~49,128
2018-07-23,,,50~59,41
2018-07-23,,,60~69,17
2018-07-23,,,70~~,1
2018-07-23,38003,,,
2018-07-24,,,~~19,195
2018-07-24,,,20~29,893
2018-07-24,,,30~39,235
2018-07-24,,,40~49,132
2018-07-24,,,50~59,53
2018-07-24,,,60~69,10
2018-07-24,,,70~~,6
2018-07-24,37486,,,
2018-07-25,,,~~19,201
2018-07-25,,,20~29,896
2018-07-25,,,30~39,266
2018-07-25,,,40~49,160
2018-07-25,,,50~59,74
2018-07-25,,,60~69,5
2018-07-25,,,70~~,4
2018-07-25,39225,,,
2018-07-26,,,~~19,197
2018-07-26,,,20~29,882
2018-07-26,,,30~39,270
2018-07-26,,,40~49,153
2018-07-26,,,50~59,75
2018-07-26,,,60~69,14
2018-07-26,,,70~~,1
2018-07-26,37796,,,
2018-07-27,,,~~19,169
2018-07-27,,,20~29,751
2018-07-27,,,30~39,230
2018-07-27,,,40~49,130
2018-07-27,,,50~59,58
2018-07-27,,,60~69,9
2018-07-27,,,70~~,5
2018-07-27,34985,,,
2018-07-28,,,~~19,169
2018-07-28,,,20~29,834
2018-07-28,,,30~39,205
2018-07-28,,,40~49,110
2018-07-28,,,50~59,86
2018-07-28,,,60~69,10
2018-07-28,,,70~~,3
2018-07-28,24649,,,
2018-07-29,,,~~19,225
2018-07-29,,,20~29,1177
2018-07-29,,,30~39,298
2018-07-29,,,40~49,144
2018-07-29,,,50~59,54
2018-07-29,,,60~69,16
2018-07-29,,,70~~,4
2018-07-29,28317,,,
2018-07-30,,,~~19,203
2018-07-30,,,20~29,986
2018-07-30,,,30~39,286
2018-07-30,,,40~49,145
2018-07-30,,,50~59,59
2018-07-30,,,60~69,14
2018-07-30,,,70~~,3
2018-07-30,36701,,,
2018-07-31,,,~~19,173
2018-07-31,,,20~29,870
2018-07-31,,,30~39,237
2018-07-31,,,40~49,117
2018-07-31,,,50~59,60
2018-07-31,,,60~69,5
2018-07-31,,,70~~,1
2018-07-31,35262,,,
2018-08-01,,,~~19,134
2018-08-01,,,20~29,676
2018-08-01,,,30~39,185
2018-08-01,,,40~49,103
2018-08-01,,,50~59,46
2018-08-01,,,60~69,6
2018-08-01,,,70~~,3
2018-08-01,31169,,,
2018-08-02,,,~~19,148
2018-08-02,,,20~29,670
2018-08-02,,,30~39,195
2018-08-02,,,40~49,99
2018-08-02,,,50~59,49
2018-08-02,,,60~69,6
2018-08-02,,,70~~,6
2018-08-02,31321,,,
2018-08-03,,,~~19,157
2018-08-03,,,20~29,691
2018-08-03,,,30~39,177
2018-08-03,,,40~49,110
2018-08-03,,,50~59,48
2018-08-03,,,60~69,8
2018-08-03,,,70~~,1
2018-08-03,31646,,,
2018-08-04,,,~~19,222
2018-08-04,,,20~29,957
2018-08-04,,,30~39,253
2018-08-04,,,40~49,107
2018-08-04,,,50~59,59
2018-08-04,,,60~69,13
2018-08-04,,,70~~,2
2018-08-04,28174,,,
2018-08-05,,,~~19,190
2018-08-05,,,20~29,993
2018-08-05,,,30~39,273
2018-08-05,,,40~49,121
2018-08-05,,,50~59,49
2018-08-05,,,60~69,9
2018-08-05,,,70~~,1
2018-08-05,26989,,,
2018-08-06,,,~~19,150
2018-08-06,,,20~29,686
2018-08-06,,,30~39,187
2018-08-06,,,40~49,96
2018-08-06,,,50~59,29
2018-08-06,,,60~69,12
2018-08-06,,,70~~,1
2018-08-06,29113,,,
2018-08-07,,,~~19,174
2018-08-07,,,20~29,755
2018-08-07,,,30~39,226
2018-08-07,,,40~49,121
2018-08-07,,,50~59,60
2018-08-07,,,60~69,12
2018-08-07,,,70~~,4
2018-08-07,36983,,,
2018-08-08,,,~~19,177
2018-08-08,,,20~29,798
2018-08-08,,,30~39,237
2018-08-08,,,40~49,116
2018-08-08,,,50~59,51
2018-08-08,,,60~69,14
2018-08-08,,,70~~,1
2018-08-08,37140,,,
2018-08-09,,,~~19,135
2018-08-09,,,20~29,559
2018-08-09,,,30~39,175
2018-08-09,,,40~49,98
2018-08-09,,,50~59,44
2018-08-09,,,60~69,10
2018-08-09,,,70~~,3
2018-08-09,32216,,,
2018-08-10,,,~~19,170
2018-08-10,,,20~29,775
2018-08-10,,,30~39,194
2018-08-10,,,40~49,99
2018-08-10,,,50~59,52
2018-08-10,,,60~69,6
2018-08-10,,,70~~,2
2018-08-10,36178,,,
2018-08-11,,,~~19,242
2018-08-11,,,20~29,1174
2018-08-11,,,30~39,341
2018-08-11,,,40~49,138
2018-08-11,,,50~59,82
2018-08-11,,,60~69,12
2018-08-11,,,70~~,2
2018-08-11,31293,,,
2018-08-12,,,~~19,211
2018-08-12,,,20~29,1113
2018-08-12,,,30~39,311
2018-08-12,,,40~49,169
2018-08-12,,,50~59,74
2018-08-12,,,60~69,11
2018-08-12,,,70~~,3
2018-08-12,27363,,,
2018-08-13,,,~~19,201
2018-08-13,,,20~29,889
2018-08-13,,,30~39,241
2018-08-13,,,40~49,118
2018-08-13,,,50~59,49
2018-08-13,,,60~69,9
2018-08-13,,,70~~,3
2018-08-13,36076,,,
2018-08-14,,,~~19,186
2018-08-14,,,20~29,927
2018-08-14,,,30~39,239
2018-08-14,,,40~49,144
2018-08-14,,,50~59,66
2018-08-14,,,60~69,12
2018-08-14,,,70~~,7
2018-08-14,37659,,,
2018-08-15,,,~~19,209
2018-08-15,,,20~29,1098
2018-08-15,,,30~39,263
2018-08-15,,,40~49,146
2018-08-15,,,50~59,61
2018-08-15,,,60~69,12
2018-08-15,,,70~~,3
2018-08-15,29270,,,
2018-08-16,,,~~19,207
2018-08-16,,,20~29,1218
2018-08-16,,,30~39,286
2018-08-16,,,40~49,121
2018-08-16,,,50~59,63
2018-08-16,,,60~69,8
2018-08-16,,,70~~,2
2018-08-16,41358,,,
2018-08-17,,,~~19,268
2018-08-17,,,20~29,1854
2018-08-17,,,30~39,390
2018-08-17,,,40~49,203
2018-08-17,,,50~59,67
2018-08-17,,,60~69,15
2018-08-17,,,70~~,2
2018-08-17,47634,,,
2018-08-18,,,~~19,482
2018-08-18,,,20~29,2874
2018-08-18,,,30~39,760
2018-08-18,,,40~49,390
2018-08-18,,,50~59,136
2018-08-18,,,60~69,29
2018-08-18,,,70~~,5
2018-08-18,45629,,,
2018-08-19,,,~~19,432
2018-08-19,,,20~29,2544
2018-08-19,,,30~39,723
2018-08-19,,,40~49,335
2018-08-19,,,50~59,147
2018-08-19,,,60~69,28
2018-08-19,,,70~~,2
2018-08-19,42281,,,
2018-08-20,,,~~19,219
2018-08-20,,,20~29,1499
2018-08-20,,,30~39,327
2018-08-20,,,40~49,190
2018-08-20,,,50~59,83
2018-08-20,,,60~69,17
2018-08-20,,,70~~,6
2018-08-20,44243,,,
2018-08-21,,,~~19,195
2018-08-21,,,20~29,1468
2018-08-21,,,30~39,367
2018-08-21,,,40~49,221
2018-08-21,,,50~59,78
2018-08-21,,,60~69,18
2018-08-21,,,70~~,1
2018-08-21,41964,,,
2018-08-22,,,~~19,188
2018-08-22,,,20~29,1071
2018-08-22,,,30~39,289
2018-08-22,,,40~49,202
2018-08-22,,,50~59,54
2018-08-22,,,60~69,13
2018-08-22,42425,,,
2018-08-23,,,~~19,69
2018-08-23,,,20~29,437
2018-08-23,,,30~39,153
2018-08-23,,,40~49,90
2018-08-23,,,50~59,45
2018-08-23,,,60~69,6
2018-08-23,,,70~~,5
2018-08-23,23616,,,
2018-08-24,,,~~19,74
2018-08-24,,,20~29,509
2018-08-24,,,30~39,163
2018-08-24,,,40~49,131
2018-08-24,,,50~59,53
2018-08-24,,,60~69,13
2018-08-24,,,70~~,5
2018-08-24,17319,,,
2018-08-25,,,~~19,370
2018-08-25,,,20~29,2644
2018-08-25,,,30~39,755
2018-08-25,,,40~49,365
2018-08-25,,,50~59,119
2018-08-25,,,60~69,13
2018-08-25,,,70~~,8
2018-08-25,47109,,,
2018-08-26,,,~~19,283
2018-08-26,,,20~29,1701
2018-08-26,,,30~39,517
2018-08-26,,,40~49,335
2018-08-26,,,50~59,91
2018-08-26,,,60~69,9
2018-08-26,,,70~~,5
2018-08-26,32200,,,
2018-08-27,,,~~19,126
2018-08-27,,,20~29,780
2018-08-27,,,30~39,207
2018-08-27,,,40~49,138
2018-08-27,,,50~59,37
2018-08-27,,,60~69,5
2018-08-27,,,70~~,2
2018-08-27,23382,,,
2018-08-28,,,~~19,46
2018-08-28,,,20~29,331
2018-08-28,,,30~39,100
2018-08-28,,,40~49,90
2018-08-28,,,50~59,37
2018-08-28,,,60~69,6
2018-08-28,,,70~~,1
2018-08-28,13495,,,
2018-08-29,,,~~19,45
2018-08-29,,,20~29,259
2018-08-29,,,30~39,115
2018-08-29,,,40~49,93
2018-08-29,,,50~59,39
2018-08-29,,,60~69,5
2018-08-29,,,70~~,1
2018-08-29,13001,,,
2018-08-30,,,~~19,109
2018-08-30,,,20~29,905
2018-08-30,,,30~39,214
2018-08-30,,,40~49,103
2018-08-30,,,50~59,48
2018-08-30,,,60~69,11
2018-08-30,,,70~~,3
2018-08-30,33158,,,
2018-08-31,,,~~19,266
2018-08-31,,,20~29,1686
2018-08-31,,,30~39,343
2018-08-31,,,40~49,179
2018-08-31,,,50~59,67
2018-08-31,,,60~69,19
2018-08-31,,,70~~,3
2018-08-31,46101,,,
2018-09-01,,,~~19,350
2018-09-01,,,20~29,2360
2018-09-01,,,30~39,648
2018-09-01,,,40~49,295
2018-09-01,,,50~59,80
2018-09-01,,,60~69,24
2018-09-01,,,70~~,3
2018-09-01,43847,,,
2018-09-02,,,~~19,432
2018-09-02,,,20~29,3010
2018-09-02,,,30~39,854
2018-09-02,,,40~49,447
2018-09-02,,,50~59,111
2018-09-02,,,60~69,14
2018-09-02,,,70~~,7
2018-09-02,48427,,,
2018-09-03,,,~~19,74
2018-09-03,,,20~29,484
2018-09-03,,,30~39,177
2018-09-03,,,40~49,113
2018-09-03,,,50~59,54
2018-09-03,,,60~69,9
2018-09-03,,,70~~,2
2018-09-03,16086,,,
2018-09-04,,,~~19,224
2018-09-04,,,20~29,1809
2018-09-04,,,30~39,467
2018-09-04,,,40~49,195
2018-09-04,,,50~59,105
2018-09-04,,,60~69,13
2018-09-04,,,70~~,5
2018-09-04,50500,,,
2018-09-05,,,~~19,299
2018-09-05,,,20~29,1972
2018-09-05,,,30~39,479
2018-09-05,,,40~49,260
2018-09-05,,,50~59,99
2018-09-05,,,60~69,26
2018-09-05,,,70~~,6
2018-09-05,53984,,,
2018-09-06,,,~~19,186
2018-09-06,,,20~29,1317
2018-09-06,,,30~39,440
2018-09-06,,,40~49,210
2018-09-06,,,50~59,89
2018-09-06,,,60~69,18
2018-09-06,,,70~~,4
2018-09-06,46532,,,
2018-09-07,,,~~19,329
2018-09-07,,,20~29,2073
2018-09-07,,,30~39,522
2018-09-07,,,40~49,262
2018-09-07,,,50~59,88
2018-09-07,,,60~69,16
2018-09-07,,,70~~,2
2018-09-07,53230,,,
2018-09-08,,,~~19,563
2018-09-08,,,20~29,4142
2018-09-08,,,30~39,979
2018-09-08,,,40~49,493
2018-09-08,,,50~59,144
2018-09-08,,,60~69,27
2018-09-08,,,70~~,7
2018-09-08,55470,,,
2018-09-09,,,~~19,538
2018-09-09,,,20~29,3885
2018-09-09,,,30~39,1097
2018-09-09,,,40~49,551
2018-09-09,,,50~59,200
2018-09-09,,,60~69,22
2018-09-09,,,70~~,5
2018-09-09,54213,,,
2018-09-10,,,~~19,267
2018-09-10,,,20~29,2022
2018-09-10,,,30~39,624
2018-09-10,,,40~49,297
2018-09-10,,,50~59,106
2018-09-10,,,60~69,17
2018-09-10,,,70~~,7
2018-09-10,55188,,,
2018-09-11,,,~~19,255
2018-09-11,,,20~29,1848
2018-09-11,,,30~39,508
2018-09-11,,,40~49,265
2018-09-11,,,50~59,103
2018-09-11,,,60~69,18
2018-09-11,,,70~~,5
2018-09-11,56212,,,
2018-09-12,,,~~19,306
2018-09-12,,,20~29,2039
2018-09-12,,,30~39,506
2018-09-12,,,40~49,294
2018-09-12,,,50~59,118
2018-09-12,,,60~69,18
2018-09-12,,,70~~,2
2018-09-12,57363,,,
2018-09-13,,,~~19,277
2018-09-13,,,20~29,1803
2018-09-13,,,30~39,501
2018-09-13,,,40~49,234
2018-09-13,,,50~59,121
2018-09-13,,,60~69,24
2018-09-13,,,70~~,3
2018-09-13,55791,,,
2018-09-14,,,~~19,271
2018-09-14,,,20~29,1576
2018-09-14,,,30~39,426
2018-09-14,,,40~49,272
2018-09-14,,,50~59,84
2018-09-14,,,60~69,19
2018-09-14,,,70~~,2
2018-09-14,49383,,,
2018-09-15,,,~~19,362
2018-09-15,,,20~29,2311
2018-09-15,,,30~39,685
2018-09-15,,,40~49,298
2018-09-15,,,50~59,133
2018-09-15,,,60~69,20
2018-09-15,,,70~~,1
2018-09-15,44808,,,
2018-09-16,,,~~19,208
2018-09-16,,,20~29,1176
2018-09-16,,,30~39,396
2018-09-16,,,40~49,223
2018-09-16,,,50~59,101
2018-09-16,,,60~69,20
2018-09-16,,,70~~,3
2018-09-16,24317,,,
2018-09-17,,,~~19,254
2018-09-17,,,20~29,1883
2018-09-17,,,30~39,477
2018-09-17,,,40~49,240
2018-09-17,,,50~59,106
2018-09-17,,,60~69,19
2018-09-17,,,70~~,4
2018-09-17,55335,,,
2018-09-18,,,~~19,256
2018-09-18,,,20~29,1759
2018-09-18,,,30~39,460
2018-09-18,,,40~49,235
2018-09-18,,,50~59,100
2018-09-18,,,60~69,11
2018-09-18,,,70~~,4
2018-09-18,57691,,,
2018-09-19,,,~~19,157
2018-09-19,,,20~29,1073
2018-09-19,,,30~39,410
2018-09-19,,,40~49,314
2018-09-19,,,50~59,132
2018-09-19,,,60~69,23
2018-09-19,,,70~~,3
2018-09-19,44096,,,
2018-09-20,,,~~19,86
2018-09-20,,,20~29,536
2018-09-20,,,30~39,181
2018-09-20,,,40~49,99
2018-09-20,,,50~59,41
2018-09-20,,,60~69,8
2018-09-20,23616,,,
2018-09-21,,,~~19,162
2018-09-21,,,20~29,977
2018-09-21,,,30~39,270
2018-09-21,,,40~49,135
2018-09-21,,,50~59,40
2018-09-21,,,60~69,15
2018-09-21,,,70~~,5
2018-09-21,32242,,,
2018-09-22,,,~~19,445
2018-09-22,,,20~29,3095
2018-09-22,,,30~39,829
2018-09-22,,,40~49,377
2018-09-22,,,50~59,151
2018-09-22,,,60~69,24
2018-09-22,,,70~~,6
2018-09-22,49688,,,
2018-09-23,,,~~19,489
2018-09-23,,,20~29,2619
2018-09-23,,,30~39,759
2018-09-23,,,40~49,481
2018-09-23,,,50~59,193
2018-09-23,,,60~69,49
2018-09-23,,,70~~,13
2018-09-23,38635,,,
2018-09-24,,,~~19,615
2018-09-24,,,20~29,2916
2018-09-24,,,30~39,877
2018-09-24,,,40~49,599
2018-09-24,,,50~59,323
2018-09-24,,,60~69,64
2018-09-24,,,70~~,12
2018-09-24,36406,,,
2018-09-25,,,~~19,642
2018-09-25,,,20~29,3954
2018-09-25,,,30~39,1191
2018-09-25,,,40~49,805
2018-09-25,,,50~59,309
2018-09-25,,,60~69,59
2018-09-25,,,70~~,13
2018-09-25,49595,,,
2018-09-26,,,~~19,616
2018-09-26,,,20~29,4178
2018-09-26,,,30~39,1283
2018-09-26,,,40~49,728
2018-09-26,,,50~59,287
2018-09-26,,,60~69,50
2018-09-26,,,70~~,7
2018-09-26,57730,,,
2018-09-27,,,~~19,342
2018-09-27,,,20~29,2309
2018-09-27,,,30~39,651
2018-09-27,,,40~49,320
2018-09-27,,,50~59,143
2018-09-27,,,60~69,30
2018-09-27,,,70~~,5
2018-09-27,58200,,,
2018-09-28,,,~~19,424
2018-09-28,,,20~29,2124
2018-09-28,,,30~39,576
2018-09-28,,,40~49,347
2018-09-28,,,50~59,148
2018-09-28,,,60~69,22
2018-09-28,,,70~~,9
2018-09-28,59649,,,
2018-09-29,,,~~19,561
2018-09-29,,,20~29,4428
2018-09-29,,,30~39,1302
2018-09-29,,,40~49,625
2018-09-29,,,50~59,214
2018-09-29,,,60~69,29
2018-09-29,,,70~~,11
2018-09-29,63866,,,
2018-09-30,,,~~19,504
2018-09-30,,,20~29,3360
2018-09-30,,,30~39,1170
2018-09-30,,,40~49,577
2018-09-30,,,50~59,212
2018-09-30,,,60~69,31
2018-09-30,,,70~~,8
2018-09-30,55893,,,
2018-10-01,,,~~19,244
2018-10-01,,,20~29,1396
2018-10-01,,,30~39,469
2018-10-01,,,40~49,248
2018-10-01,,,50~59,87
2018-10-01,,,60~69,22
2018-10-01,,,70~~,8
2018-10-01,51808,,,
2018-10-02,,,~~19,263
